location;manual;core;nstrata;perstrat1;perstrat2;perstrat3;strata1age;strata2age;strata3age;nspecies;simp;shan;n_attack_bird;n_attack_mam
Dombachgraben;171_610_D0;core;2;90;10;0;91;31;0;5;0.509;0.86372479;2;0
Dombachgraben;171_611_C0;core;1;100;0;0;156;0;0;3;0.1144;0.265158373;1;3
Dombachgraben;171_611_A3;core;1;100;0;0;26;0;0;2;0.095;0.198515243;3;4
Weidlingbach;171_601_A1;managed;2;82;9;0;81;36;0;6;0.53864;0.846244378;10;3
Weidlingbach;171_601_A2;managed;1;100;0;0;61;0;0;3;0.185;0.394397691;2;1
Weidlingbach;171_601_B1;managed;1;100;0;0;71;0;0;3;0.265;0.518186213;0;0
Weidlingbach;171_601_B2;managed;1;100;0;0;46;0;0;4;0.595;1.070047315;0;0
Baunzen;171_030_A0;core;1;100;0;0;91;0;0;3;0.56;0.950270539;2;0
Baunzen;171_031_C4;core;1;100;0;0;41;0;0;2;0.18;0.325082973;1;1
Baunzen;171_031_C1;core;1;100;0;0;201;0;0;1;0;0;2;8
Baunzen;171_030_B1;core;1;100;0;0;41;0;0;1;0;0;0;1
Tullnerbach;171_134_B0;managed;1;100;0;0;76;0;0;5;0.4724;0.850714095;3;4
Tullnerbach;171_135_B1;managed;1;100;0;0;106;0;0;7;0.757;1.63904112;4;1
Mauerbach;171_654_F0;core;1;100;0;0;141;0;0;4;0.615;1.094056457;2;0
Mauerbach;171_654_D1;core;2;90;10;0;136;6;0;1;0;0;0;0
Mauerbach;171_653_G5;core;1;100;0;0;16;0;0;2;0.32;0.500402424;1;1
Mauerbach;171_654_B0;core;2;77;23;0;111;6;0;3;0.2618;0.492054532;4;1
Mauerbach;171_651_A1;core;1;100;0;0;61;0;0;2;0.255;0.422709088;0;1
Mauerbach;171_650_C0;core;1;100;0;0;81;0;0;3;0.54;0.897945725;1;0
Mauerbach;171_653_G1;core;2;90;10;0;136;6;0;2;0.018;0.032508297;0;0
Hahnbaum;171_590_A0;managed;2;90;10;0;106;5;0;2;0.3375;0.50610163;3;0
Hahnbaum;171_590_B0;managed;3;82;9;9;106;10;5;3;0.123164;0.271989433;4;4
Hahnbaum;171_589_A0;managed;2;82;18;0;91;5;0;3;0.5084;0.844315472;3;0
Hahnbaum;171_590_E0;managed;1;100;0;0;36;0;0;3;0.185;0.394397691;0;0
